id,laptop_ID,Company,Product,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Total Resolution
63,125,899.0,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Nvidia GeForce 940MX,No OS,2.2,629.0,2073600.0
64,864,899.0,ThinkPad T470p,Ultrabook,14.0,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD,Nvidia GeForce GT 940MX,Windows 10,1.96,1903.0,2073600.0
65,818,899.0,IdeaPad 310-15IKB,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4.0,1TB HDD,Nvidia GeForce 920M,Windows 10,2.4,609.0,2073600.0
66,405,949.0,Precision M5520,Workstation,15.6,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD,Nvidia Quadro M1200,Windows 10,1.78,2712.0,8294400.0
67,945,914.0,EliteBook 820,Ultrabook,12.5,Intel Core i5 6200U 2.3GHz,4.0,500GB HDD,Intel HD Graphics 520,Windows 10,1.26,1579.0,2073600.0
68,619,949.0,Vostro 3568,Notebook,15.6,Intel Core i3 6006U 2.0GHz,4.0,1TB HDD,Intel HD Graphics 520,Linux,2.18,443.9,1049088.0
69,233,963.0,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD +  500GB HDD,Nvidia GeForce GTX 950M,Windows 10,2.69,891.0,2073600.0
70,570,899.0,Thinkpad P71,Notebook,17.3,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD,Nvidia Quadro M620M,Windows 10,3.4,2999.0,2073600.0
72,1306,963.0,X553SA-XX031T (N3050/4GB/500GB/W10),Notebook,15.6,Intel Celeron Dual Core N3050 1.6GHz,4.0,500GB HDD,Intel HD Graphics,Windows 10,2.2,369.0,1049088.0
73,839,3049.0,Blade Pro,Gaming,17.3,Intel Core i7 7820HK 2.9GHz,32.0,512GB SSD,Nvidia GeForce GTX 1080,Windows 10,3.49,5499.0,8294400.0
74,4,1339.69,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.7GHz,16.0,512GB SSD,AMD Radeon Pro 455,macOS,1.83,2537.45,5184000.0
78,575,899.0,IdeaPad 320-15IAP,Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,4.0,500GB HDD,Intel HD Graphics 505,Windows 10,2.2,344.0,2073600.0
79,776,949.0,Inspiron 7559,Gaming,15.6,Intel Core i7 6700HQ 2.6GHz,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2.72,1099.0,8294400.0
80,1172,949.0,XPS 15,Notebook,15.6,Intel Core i5 6300HQ 2.3GHz,8.0,256GB SSD,Nvidia GeForce 960M,Windows 10,2.04,2250.68,8294400.0
84,93,559.0,Aspire 5,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8.0,1TB HDD,Nvidia GeForce MX150,Windows 10,2.2,689.0,2073600.0
85,531,949.0,Inspiron 5770,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8.0,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8,889.0,2073600.0
89,973,559.0,Chromebook C738T-C2EJ,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3060 1.6GHz,4.0,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.25,389.0,1049088.0
92,1104,559.0,Aspire ES1-523,Notebook,15.6,AMD A8-Series 7410 2.2GHz,4.0,500GB HDD,AMD Radeon R5,Windows 10,2.4,387.0,1049088.0
94,835,963.0,ZenBook Flip,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.1,1358.0,2073600.0
95,895,949.0,Inspiron 3552,Notebook,15.6,Intel Pentium Quad Core N3710 1.6GHz,4.0,500GB HDD,Intel HD Graphics,Windows 10,2.2,369.0,1049088.0
96,593,914.0,Omen 17-AN010nv,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.78,1498.0,2073600.0
98,315,899.0,IdeaPad 720S-13IKB,Notebook,13.3,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.1,999.0,2073600.0
99,985,949.0,Latitude E7470,Ultrabook,14.0,Intel Core i7 6600U 2.6GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,1.5,1962.98,3686400.0
100,1003,949.0,Latitude 5480,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.6,1119.0,2073600.0
101,1308,949.0,Inspiron 3567,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.3,459.0,1049088.0
102,603,899.0,ThinkPad Yoga,2 in 1 Convertible,13.3,Intel Core i7 7500U 2.7GHz,8.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.37,2025.0,2073600.0
103,1047,914.0,Probook 640,Notebook,14.0,Intel Core i5 6200U 2.3GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 7,1.95,1195.0,2073600.0
105,978,914.0,ProBook 450,Notebook,15.6,Intel Core i5 7200U 2.50GHz,8.0,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.04,846.5,1049088.0
106,676,1195.0,Tecra Z50-D-10E,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,1258.0,2073600.0
107,944,899.0,IdeaPad 320-15IAP,Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,4.0,1TB HDD,Intel HD Graphics 505,Windows 10,2.2,309.0,1049088.0
109,1274,963.0,Rog G752VT-GC073T,Gaming,17.3,Intel Core i7 6700HQ 2.6GHz,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,Windows 10,4.0,1900.0,2073600.0
110,1000,914.0,Probook 450,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.04,806.0,2073600.0
111,478,914.0,ZBook 15u,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,500GB HDD,AMD FirePro W4190M,Windows 10,1.9,1154.0,2073600.0
112,8,1339.69,Macbook Air,Ultrabook,13.3,Intel Core i5 1.8GHz,8.0,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,1158.7,1296000.0
113,727,914.0,ProBook 470,Notebook,17.3,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.63,1200.0,2073600.0
116,955,963.0,X751SV-TY001T (N3710/4GB/1TB/GeForce,Notebook,17.3,Intel Pentium Quad Core N3710 1.6GHz,4.0,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8,530.0,1440000.0
117,896,914.0,EliteBook x360,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.28,1799.0,2073600.0
118,817,949.0,Inspiron 7567,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16.0,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1679.0,8294400.0
119,602,899.0,IdeaPad 110-15ISK,Notebook,15.6,Intel Core i3 6100U 2.3GHz,8.0,1TB HDD,Intel HD Graphics 520,Windows 10,2.29,459.0,1049088.0
120,148,963.0,ZenBook UX430UA,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.25,1099.0,2073600.0
121,95,949.0,Inspiron 7577,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8.0,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65,1195.0,2073600.0
123,192,559.0,Swift 7,Ultrabook,13.3,Intel Core i5 7Y54 1.2GHz,8.0,256GB SSD,Intel HD Graphics 615,Windows 10,1.12,989.0,2073600.0
124,1193,963.0,UX410UA-GV097T (i3-7100U/4GB/256GB/FHD/W10),Notebook,14.0,Intel Core i3 7100U 2.4GHz,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,769.0,2073600.0
125,410,559.0,Aspire 7,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD,Nvidia GeForce GTX 1050,Linux,2.5,879.0,2073600.0
126,105,949.0,Inspiron 3576,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8.0,1TB HDD,AMD Radeon 520,Linux,2.2,647.0,2073600.0
127,743,899.0,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i7 7500U 2.7GHz,4.0,1TB HDD,Intel HD Graphics 620,Windows 10,1.85,779.0,2073600.0
129,892,914.0,Pavilion x360,2 in 1 Convertible,15.6,Intel Core i5 7200U 2.5GHz,4.0,500GB HDD,Intel HD Graphics 620,Windows 10,2.3,684.8,1049088.0
130,683,1684.0,GP62 7RDX,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.4,1294.0,2073600.0
131,92,963.0,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,AMD FX 9830P 3GHz,8.0,1TB HDD,AMD Radeon RX 560,Windows 10,2.45,699.0,2073600.0
132,828,949.0,Latitude 3480,Notebook,14.0,Intel Core i5 6200U 2.3GHz,4.0,500GB HDD,Intel HD Graphics 520,Windows 10,1.76,755.0,1049088.0
134,42,949.0,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,1499.0,2073600.0
135,513,963.0,ZenBook UX510UX-CN211T,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10,2.0,1224.0,2073600.0
136,517,949.0,XPS 13,Ultrabook,13.3,Intel Core i5 7200U 2.5GHz,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.29,899.0,2073600.0
137,196,999.9,Mi Notebook,Ultrabook,13.3,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Nvidia GeForce MX150,No OS,1.3,999.9,2073600.0
138,1146,899.0,ThinkPad P40,2 in 1 Convertible,14.0,Intel Core i7 6600U 2.6GHz,8.0,512GB SSD,Nvidia Quadro M500M,Windows 7,1.8,2050.38,2073600.0
139,523,914.0,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,15.6,Intel Core i5 8250U 1.6GHz,4.0,1TB HDD,Intel UHD Graphics 620,Windows 10,2.04,521.47,1049088.0
141,777,1624.0,Notebook 9,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.31,1599.0,2073600.0
142,429,914.0,ProBook 650,Notebook,15.6,Intel Core i7 7820HQ 2.9GHz,8.0,256GB SSD,Intel HD Graphics 630,Windows 10,2.31,1427.0,2073600.0
144,199,914.0,ProBook 470,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8.0,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,914.0,2073600.0
147,448,949.0,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U 1.6GHz,4.0,256GB SSD,AMD Radeon 530,Windows 10,2.2,749.0,2073600.0
148,440,899.0,Thinkpad T570,Workstation,15.6,Intel Core i7 7600U 2.8GHz,16.0,512GB SSD,Nvidia GeForce 940MX,Windows 10,2.3,2445.0,8294400.0
150,58,963.0,VivoBook Max,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,586.19,1049088.0
154,668,949.0,Latitude E7470,Notebook,14.0,Intel Core i5 6300U 2.4GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,1.56,1229.0,2073600.0
155,1206,949.0,XPS 13,Ultrabook,13.3,Intel Core i5 6300U 2.4GHz,8.0,256GB SSD,Intel HD Graphics 520,Linux,1.23,1099.0,5760000.0
156,605,949.0,Latitude 5289,2 in 1 Convertible,12.5,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.34,1670.0,2073600.0
159,950,949.0,Vostro 3568,Notebook,15.6,Intel Core i3 6006U 2.0GHz,4.0,1TB HDD,Intel HD Graphics 520,Windows 10,2.18,558.6,1049088.0
161,33,914.0,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,AMD A6-Series 9220 2.5GHz,4.0,500GB HDD,AMD Radeon 530,Windows 10,2.71,439.0,2073600.0
162,805,963.0,R417NA-RS01 (N3350/4GB/32GB/W10),Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4.0,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.63,299.0,1049088.0
163,1208,899.0,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8.0,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.4,819.0,2073600.0
164,349,899.0,Yoga 920-13IKB,2 in 1 Convertible,13.9,Intel Core i7 8550U 1.8GHz,16.0,512GB SSD,Intel UHD Graphics 620,Windows 10,1.4,2099.0,8294400.0
165,1090,899.0,IdeaPad 300-17ISK,Notebook,17.3,Intel Core i5 6200U 2.3GHz,8.0,1.0TB HDD,AMD Radeon R5 M330,Windows 10,3.0,659.0,1440000.0
166,1052,949.0,Latitude E5570,Notebook,15.6,Intel Core i5 6300U 2.4GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 7,2.09,1062.95,2073600.0
167,107,1340.0,Surface Laptop,Ultrabook,13.5,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,1340.0,3393024.0
168,713,949.0,Vostro 5568,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.18,795.0,2073600.0
169,1117,559.0,Chromebook 15,Notebook,15.6,Intel Celeron Dual Core 3205U 1.5GHz,4.0,16GB SSD,Intel HD Graphics,Chrome OS,2.2,209.0,1049088.0
171,407,899.0,IdeaPad 320-15IAP,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4.0,1TB HDD,Intel HD Graphics 500,Windows 10,2.2,306.0,1049088.0
172,1237,559.0,SP714-51 (i7-7Y75/8GB/256GB/FHD/W10),2 in 1 Convertible,14.0,Intel Core i7 7Y75 1.3GHz,8.0,256GB SSD,Intel HD Graphics 615,Windows 10,1.2,1149.0,2073600.0
174,722,949.0,Latitude 5580,Notebook,15.6,Intel Core i5 7300U 2.6GHz,16.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.93,1426.66,2073600.0
176,630,739.0,LifeBook A557,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,799.0,1049088.0
177,718,899.0,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1249.0,2073600.0
178,728,899.0,ThinkPad X1,Ultrabook,14.0,Intel Core i7 6500U 2.5GHz,8.0,512GB SSD,Intel HD Graphics 520,Windows 10,1.17,1686.64,3686400.0
185,596,963.0,ROG Strix,Gaming,17.3,Intel Core i5 7300HQ 2.5GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.73,1770.0,2073600.0
187,469,963.0,Pro P2540UA-AB51,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.37,749.0,2073600.0
188,656,1195.0,Portege Z30-C-16J,Notebook,13.3,Intel Core i5 6200U 2.3GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,1.2,1213.0,2073600.0
189,90,963.0,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,1449.0,2073600.0
190,1115,949.0,Latitude E5270,Ultrabook,12.5,Intel Core i3 6100U 2.3GHz,4.0,500GB HDD,Intel HD Graphics 520,Windows 7,1.5,1135.15,1049088.0
191,511,899.0,Chromebook N23,Netbook,11.6,Intel Celeron Dual Core N3060 1.6GHz,4.0,16GB SSD,Intel HD Graphics 400,Chrome OS,1.25,265.0,1049088.0
192,720,949.0,Vostro 5568,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,1TB HDD,Intel HD Graphics 620,Linux,1.98,726.0,2073600.0
193,1066,949.0,Inspiron 5578,2 in 1 Convertible,15.6,Intel Core i5 7200U 2.7GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.3,1094.0,2073600.0
194,1091,899.0,Ideapad 700-15ISK,Notebook,15.6,Intel Core i5 6300HQ 2.3GHz,4.0,1TB HDD,Nvidia GeForce GTX 950M,Windows 10,2.3,977.0,2073600.0
196,680,899.0,Yoga 720-13IKB,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.3,1034.0,2073600.0
197,906,1195.0,Portege X30-D-10V,Notebook,13.3,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.05,1475.0,2073600.0
198,1132,3049.0,Blade Stealth,Ultrabook,12.5,Intel Core i7 6500U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,1.25,1029.0,8294400.0
199,1075,963.0,Rog G752VL-GC088D,Gaming,17.3,Intel Core i7 6700HQ 2.6GHz,16.0,1TB HDD,Nvidia GeForce GTX 965M,No OS,4.0,998.0,2073600.0
200,424,914.0,EliteBook 1040,Ultrabook,14.0,Intel Core i7 6500U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,1.43,1500.0,2073600.0
201,156,1684.0,GE73VR 7RE,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.8,1890.0,2073600.0
202,758,914.0,Zbook 17,Workstation,17.3,Intel Xeon E3-1535M v5 2.9GHz,16.0,256GB SSD,Nvidia Quadro M2000M,Windows 7,3.0,4389.0,2073600.0
